Time,RAM_Pct,RAM_FreeGB,Commit_Pct,CPU_Pct,CPU_MHz,ChromeGB,ClaudeGB,FFoxGB,Batt_Pct,Alert
11:11:41,65,5.5,79.9,17,1498,4.28,2.54,0,78,
11:11:58,66.6,5.25,81.4,51,1498,4.4,2.66,0,78,
11:12:14,63.4,5.75,79.3,31,1498,4.56,2.6,0,77,
11:12:31,70.9,4.58,87.2,59,1498,5.39,2.68,0,77,
11:12:48,72.7,4.3,89.3,53,1498,2.06,2.63,0,76,
11:13:04,81.5,2.91,97.8,68,1498,3.19,2.69,0,76,COMMIT>=90% COMMIT_CRITICO! 
11:13:21,72.1,4.39,85.2,90,1498,5.89,2.7,0,75,
11:13:37,80.3,3.1,92.2,54,1498,2.88,2.75,0,75,COMMIT>=90% 
11:13:54,69.7,4.76,83.5,45,1498,5.19,3.08,0,75,
11:14:11,81.2,2.96,89.8,7,1498,3,2.99,0,74,
11:14:28,76.5,3.69,86.1,74,1498,2.05,3.25,0,74,
11:14:46,64.8,5.54,78.3,90,1498,3.19,3.3,0,73,
11:15:04,64.9,5.52,78,55,1498,3.19,3.25,0,73,
11:15:22,66.9,5.2,80,74,1498,3.64,3.24,0,72,
11:15:38,67.3,5.15,79.7,65,1498,3.8,3.22,0,72,
11:15:55,68,5.04,79.4,60,1498,3.75,3.23,0,71,
11:16:13,68,5.04,79.8,71,1498,3.77,3.24,0,71,
11:16:30,70.6,4.62,82.9,97,1498,3.9,3.26,0,70,
11:16:47,67.3,5.14,79.9,63,1498,3.4,3.25,0,70,
11:17:04,66.8,5.22,80.3,48,1498,3.31,3.36,0,69,
11:17:20,66.3,5.3,80.3,48,1498,3.31,3.38,0,69,
11:17:37,67.1,5.18,81.8,77,1498,3.39,3.38,0,69,
11:17:53,66.8,5.23,81.5,48,1498,3.39,3.41,0,68,
11:18:09,66.1,5.33,81.1,44,1498,3.42,3.34,0,68,
11:18:27,67,5.19,81.8,64,1498,3.47,3.37,0,67,
11:18:43,67.8,5.07,82.8,60,1498,3.5,3.39,0,67,
11:19:00,67.5,5.11,82.6,45,1498,3.52,3.41,0,67,
11:19:17,68.2,5.01,83.5,73,1498,3.55,3.41,0,66,
11:19:35,68,5.03,83.8,45,1498,3.6,3.41,0,66,
11:19:52,68.1,5.02,83.7,65,1498,3.6,3.28,0,65,
11:20:10,65.6,5.41,83,48,1498,3.27,3.33,0,65,
11:20:27,67,5.19,84.6,57,1498,3.38,3.42,0,64,
11:20:44,67.2,5.16,84.8,58,1498,3.38,3.51,0,64,
11:21:01,67.6,5.1,85,56,1498,3.34,3.49,0,63,
11:21:19,64.2,5.63,82.5,44,1498,3,3.3,0,63,
11:21:35,64.5,5.58,82.6,54,1498,3.02,3.29,0,63,
11:21:52,64.5,5.59,82.4,39,1498,2.98,3.29,0,62,
11:22:09,64.2,5.63,82.2,49,1498,2.98,3.27,0,62,
11:22:25,64.6,5.57,82.9,42,1498,3.04,3.27,0,61,
11:22:42,64.5,5.58,82.7,39,1498,3.08,3.27,0,61,
11:22:59,64.5,5.59,82.6,48,1498,3.08,3.27,0,61,
11:23:17,66.3,5.3,84.6,34,1498,3.13,3.29,0,60,
11:23:33,66.2,5.32,84.3,46,1498,3.13,3.29,0,60,
11:23:51,66.9,5.21,85,40,1498,3.12,3.41,0,59,
11:24:08,68,5.04,84.9,41,1498,3.32,3.4,0,59,
11:24:26,66.4,5.29,85.2,90,1498,3.2,3.47,0,58,
11:24:42,66.4,5.28,84.5,72,1498,3.06,3.49,0,58,
11:25:00,66.8,5.23,84.7,49,1498,3.14,3.47,0,58,
11:25:18,66.9,5.21,84.3,62,1498,3.16,3.49,0,57,
11:25:35,68.2,5,85.1,42,1498,3.39,3.45,0,57,
11:25:53,69.6,4.78,86.9,41,1498,3.54,3.49,0,56,
11:26:10,68.3,4.98,86.2,38,1498,3.32,3.47,0,56,
11:26:28,68.2,5.01,85.5,50,1498,3.38,3.44,0,55,
11:26:44,67.1,5.17,84.2,34,1498,3.09,3.45,0,55,
11:27:02,67.5,5.11,85.6,69,1498,3.35,3.44,0,54,
11:27:19,66.9,5.21,84.6,78,1498,3.22,3.4,0,54,
11:27:37,70.7,4.61,88.6,40,1498,3.2,3.31,0,53,
11:27:54,69.5,4.79,87.8,46,1498,3.1,3.29,0,53,
11:28:12,69,4.87,87.5,48,1498,3.16,3.35,0,52,
11:28:29,69,4.87,87.8,37,1498,3.22,3.33,0,52,
11:28:46,69.4,4.82,88,30,1498,3.18,3.36,0,51,
11:29:02,69.7,4.76,88.7,41,1498,3.25,3.32,0,51,
11:29:18,66.9,5.2,86.2,41,1498,3.3,3.33,0,50,
11:29:35,64.9,5.52,84.7,42,1498,2.99,3.35,0,50,
11:29:53,65,5.51,84.8,33,1498,2.97,3.33,0,49,
11:30:11,66.1,5.34,85.7,38,1498,3,3.41,0,49,
11:30:28,65,5.51,85,35,1498,2.95,3.35,0,48,
11:30:44,65.2,5.47,85.5,39,1498,3,3.36,0,48,
11:31:02,65.4,5.45,85.7,35,1498,2.98,3.38,0,47,
11:31:19,65.5,5.42,86.1,33,1498,3,3.38,0,47,
11:31:37,65.7,5.39,86.3,35,1498,3.03,3.38,0,46,
11:31:54,65.9,5.36,86.7,34,1498,3.06,3.38,0,46,
11:32:11,65.9,5.37,86.7,39,1498,3.06,3.38,0,45,
11:32:29,65.8,5.38,86.9,38,1498,3.08,3.38,0,45,
11:32:45,65.8,5.38,86.9,27,1498,3.08,3.38,0,44,
11:33:03,67,5.19,87.9,43,1498,3.11,3.46,0,44,
11:33:20,66.5,5.27,87.9,39,1498,3.2,3.41,0,43,
11:33:38,67.4,5.13,89.4,88,1498,3.15,3.66,0,43,
11:33:54,67.1,5.17,89.1,48,1498,3.15,3.43,0,42,
11:34:10,66.2,5.31,88.2,25,1498,3.15,3.4,0,42,
11:34:28,67.1,5.17,89.7,48,1498,3.03,3.66,0,41,
11:34:44,64.8,5.53,85.5,39,1498,2.92,3.19,0,41,
11:35:00,64,5.67,84.6,41,1498,2.95,3.07,0,41,
11:35:18,64.3,5.61,85.3,48,1498,3.08,3.06,0,40,
11:35:35,64.3,5.62,85.3,29,1498,3.08,3.03,0,40,
11:35:53,64,5.67,84.9,26,1498,3.03,3.04,0,39,
11:36:10,63.9,5.68,84.9,25,1498,3.03,3.03,0,39,
11:36:28,63.1,5.8,84.5,35,1498,2.91,3.05,0,38,
11:36:44,63.2,5.79,84.5,28,1498,2.91,3.05,0,38,
11:37:01,63.3,5.78,84.6,27,1498,2.9,3.07,0,37,
11:37:19,67,5.19,90,56,1498,2.97,3.03,0,37,COMMIT>=90% 
11:37:37,64,5.66,85.6,25,1498,3.01,3.05,0,36,
11:37:55,64.7,5.56,87.1,52,1498,3.01,3.12,0,36,
11:38:12,70.2,4.69,91.1,94,1498,2.99,3.04,0.9,35,COMMIT>=90% 
11:38:29,77.4,3.55,97.4,77,1498,3.06,3.03,1.73,35,COMMIT>=90% COMMIT_CRITICO! 
11:38:46,77.7,3.51,93,58,1498,3.06,3.07,1.94,34,COMMIT>=90% 
11:39:02,76.4,3.71,92.1,100,1498,3.04,3.1,1.96,34,COMMIT>=90% 
11:39:19,76.4,3.71,92.1,66,1498,3.05,3.08,1.92,33,COMMIT>=90% 
11:39:35,76.2,3.75,92.2,71,1498,3.08,3.07,1.92,33,COMMIT>=90% 
11:39:51,76.4,3.72,92.4,80,1498,3.07,3.09,1.97,32,COMMIT>=90% 
11:40:08,77.2,3.59,93.5,50,1498,3.12,3.1,1.97,32,COMMIT>=90% 
11:40:24,78,3.46,95.1,93,1498,3.03,2.84,2.22,31,COMMIT>=90% COMMIT_CRITICO! 
11:40:41,77.9,3.48,95.3,54,1498,3.02,2.84,2.69,31,COMMIT>=90% COMMIT_CRITICO! 
11:40:58,76.6,3.68,94.1,73,1498,3.02,2.82,2.53,30,COMMIT>=90% 
11:41:14,77.2,3.59,94.8,71,1498,3.03,2.84,2.52,30,COMMIT>=90% 
11:41:31,77.9,3.47,95.5,68,1498,2.8,2.83,2.52,29,COMMIT>=90% COMMIT_CRITICO! 
11:41:47,79.2,3.27,96.6,93,1498,2.8,2.83,2.52,29,COMMIT>=90% COMMIT_CRITICO! 
11:42:05,80.9,3,98.1,84,1498,2.85,2.84,2.5,28,COMMIT>=90% COMMIT_CRITICO! 
11:42:22,82.5,2.76,95.6,79,1498,2.89,2.83,2.52,28,RAM>=82% COMMIT>=90% COMMIT_CRITICO! 
11:42:40,76.7,3.67,90.8,88,1498,2.88,2.78,2.58,27,COMMIT>=90% 
11:42:57,78.7,3.35,92.6,73,1498,2.9,2.78,2.58,27,COMMIT>=90% 
11:43:13,76.9,3.64,91.3,100,1498,2.88,2.81,2.56,26,COMMIT>=90% 
11:43:30,78.4,3.4,92.5,92,1498,2.93,2.83,2.51,26,COMMIT>=90% 
11:43:47,77.1,3.61,91.4,74,1498,2.88,2.85,2.52,25,COMMIT>=90% 
11:44:04,78.7,3.35,92.8,100,1498,2.9,2.82,2.58,25,COMMIT>=90% 
11:44:22,80.4,3.08,94.5,100,1498,2.9,2.83,2.52,24,COMMIT>=90% 
11:44:39,82.7,2.72,97.1,100,1498,2.9,2.83,2.53,24,RAM>=82% COMMIT>=90% COMMIT_CRITICO! 
11:44:56,83,2.67,97.1,100,1498,2.89,2.83,2.5,23,RAM>=82% COMMIT>=90% COMMIT_CRITICO! 
11:45:13,74.7,3.98,91,73,1498,2.75,2.58,2.54,22,COMMIT>=90% 
11:45:29,75.4,3.87,92.3,73,1498,2.83,2.58,2.55,22,COMMIT>=90% 
11:45:45,76.7,3.66,93.5,100,1498,2.86,2.58,2.49,21,COMMIT>=90% 
11:46:02,76.7,3.66,93.4,63,1498,2.84,2.58,2.54,21,COMMIT>=90% 
11:46:19,75.5,3.86,92.5,54,1498,2.88,2.58,2.54,21,COMMIT>=90% 
11:46:35,77.4,3.55,94.3,96,1498,2.91,2.58,2.55,20,COMMIT>=90% 
11:46:52,75,3.94,91.8,49,1498,2.95,2.57,2.51,20,COMMIT>=90% 
11:47:09,75.3,3.89,92.2,79,1498,2.95,2.58,2.56,19,COMMIT>=90% 
11:47:25,78.3,3.42,94.9,87,1498,2.95,2.57,2.56,19,COMMIT>=90% 
11:47:42,77.4,3.56,93.8,54,1498,2.95,2.58,2.51,18,COMMIT>=90% 
11:47:58,75,3.94,91.9,68,1498,2.95,2.54,2.55,18,COMMIT>=90% 
11:48:14,76.9,3.63,93.5,63,1498,2.95,2.54,2.08,17,COMMIT>=90% 
11:48:31,78.3,3.41,94.7,96,1498,2.82,2.56,3.51,17,COMMIT>=90% 
11:48:48,79.3,3.25,95.5,68,1498,2.77,2.57,3.56,16,COMMIT>=90% COMMIT_CRITICO! 
11:49:04,82.6,2.73,98.7,80,1498,2.76,2.58,3.57,16,RAM>=82% COMMIT>=90% COMMIT_CRITICO! 
11:49:21,80.2,3.11,95.8,61,1498,2.79,2.66,3.44,15,COMMIT>=90% COMMIT_CRITICO! 
11:49:37,77.7,3.5,91.8,39,1498,2.83,2.35,3.38,15,COMMIT>=90% 
11:49:53,78.6,3.37,92.5,57,1498,2.83,2.35,3.33,14,COMMIT>=90% 
11:50:10,81.3,2.94,95.1,55,1498,2.84,2.36,3.23,14,COMMIT>=90% COMMIT_CRITICO! 
11:50:26,80.4,3.08,95,60,1498,2.83,2.38,3.31,13,COMMIT>=90% COMMIT_CRITICO! 
11:50:42,80.1,3.13,94.8,59,1498,2.83,2.38,3.32,13,COMMIT>=90% 
11:50:59,81.9,2.85,96.4,43,1498,2.83,2.37,3.25,12,COMMIT>=90% COMMIT_CRITICO! 
11:51:15,82.1,2.81,96.9,53,1498,2.82,2.4,3.25,12,RAM>=82% COMMIT>=90% COMMIT_CRITICO! 
11:51:31,80.2,3.11,96.5,39,1498,2.65,2.81,3.2,11,COMMIT>=90% COMMIT_CRITICO! 
11:51:48,79,3.3,95.4,38,1498,2.66,2.64,3.21,11,COMMIT>=90% COMMIT_CRITICO! 
11:52:04,79.3,3.26,95.6,60,1498,2.66,2.62,3.27,11,COMMIT>=90% COMMIT_CRITICO! 
11:52:20,80.6,3.05,97.4,90,1498,2.72,2.83,3.17,10,COMMIT>=90% COMMIT_CRITICO! 
11:52:37,81.7,2.88,100,48,1498,2.73,3.31,3.21,9,COMMIT>=90% COMMIT_CRITICO! 
11:52:58,79.3,3.26,85.6,54,1498,2.36,3.29,3.22,9,
11:53:15,65.2,5.47,81.8,58,1498,2.35,3.03,0,9,
11:53:31,61.9,6,78.2,45,1498,2.32,3.03,0,8,
11:53:48,65,5.51,81.6,62,1498,2.31,3.16,0,8,
11:54:04,65.5,5.42,82.2,43,1498,2.31,3.24,0,7,
11:54:20,62.1,5.96,78.7,47,1498,2.31,3.07,0,7,
11:54:36,62.2,5.95,78.7,51,1498,2.31,3.08,0,6,
11:54:52,66.1,5.33,82.9,58,1498,2.31,3.22,0,6,
