Time,RAM_Pct,RAM_FreeGB,Commit_Pct,Commit_UsedGB,Commit_LimitGB,C_FreeGB,Pagefile_GB,CPU_Pct,ChromeGB,ClaudeGB,PerplexGB,Alert
22:16:52,49.9,7.88,52.3,9.28,17.73,7.6,0,15,0.86,2.93,0.84,
22:17:24,51.5,7.63,54.8,9.72,17.73,7.59,0,25,1.22,2.95,0.84,
22:17:56,51.8,7.58,54.9,9.73,17.73,7.59,0,19,1.16,3,0.84,
22:18:28,51.7,7.59,54.9,9.73,17.73,7.59,0,25,1.17,3.01,0.85,
22:19:01,52.1,7.54,55.6,9.85,17.73,7.59,0,46,1.33,2.96,0.85,
22:19:32,51.6,7.62,55,9.75,17.73,7.59,0,23,1.32,2.95,0.85,
22:20:04,54.3,7.19,57,10.11,17.73,7.58,0,26,1.64,3.03,0.85,
22:20:36,52.8,7.42,56.5,10.01,17.73,7.58,0,26,1.59,2.95,0.86,
22:21:08,53.5,7.31,57.1,10.13,17.73,7.58,0,54,1.77,3,0.85,
22:21:39,50.8,7.74,57.8,10.24,17.73,7.58,0,7,1.72,2.77,0.76,
22:22:11,51,7.7,58.1,10.3,17.73,7.56,0,2,1.75,2.82,0.77,
22:22:43,49.9,7.88,57,10.11,17.73,7.56,0,5,1.72,2.7,0.77,
22:23:15,49.7,7.91,56.7,10.06,17.73,7.56,0,4,1.72,2.67,0.77,
22:23:46,49.8,7.89,56.9,10.08,17.73,7.56,0,3,1.73,2.7,0.78,
22:24:18,49.7,7.92,56.7,10.06,17.73,7.56,0,5,1.73,2.69,0.76,
22:24:49,50,7.87,57,10.1,17.73,7.56,0,1,1.72,2.74,0.77,
22:25:21,46.9,8.35,54.3,9.62,17.73,7.56,0,4,1.66,2.34,0.77,
22:25:54,47.1,8.32,54.4,9.64,17.73,7.56,0,2,1.66,2.34,0.78,
22:46:46,46.4,8.43,48.7,8.64,17.73,7.56,0,57,1.68,1.67,0.79,
